procs                      memory      swap          io     system         cpu
 r  b   swpd   free   buff  cache   si   so    bi    bo   in    cs us sy id wa
 0  1  66952 361296 134816 232304    8    5    14     4    1    13 14  5  9 14
 0  0  66952 348252 135104 240148    0    0     0     0  210 75325 82 16  2  0
 0  1  66952 335512 135104 247996    0    0     0 31472  614 76160 82 16  0  2
 0  0  66952 323924 135120 254472   20    0    20   536  365 77898 85 12  2  0
 0  0  66952 311300 135120 262132    0    0     0     0  214 77194 86 12  2  0
 0  0  66948 304416 135120 264252    0    0     0     0  207 78555 87 11  2  0
 0  0  66948 296376 135120 271672    4    0     4     0  205 77624 81 17  2  0
 0  1  66948 279608 135120 279636    4    0     4 38200  633 71506 85 12  0  3
 0  0  66948 263308 135128 285784    0    0     0   236  475 73511 81 15  3  0
 0  0  66948 255204 135128 293656    4    0     4     0  203 78491 84 14  1  0
 0  0  66948 242128 135128 301616    4    0     4     0  205 76670 81 16  2  0
 0  0  66948 240176 135128 303320    0    0     0     0  203 81204 83 16  1  0
 0  1  66948 227440 135128 310952    0    0     0 31816  680 75138 82 16  1  0
 0  0  66948 214600 135128 318584    0    0     0   220  299 76158 84 14  1  0
 0  0  66948 202872 135128 325156    0    0     0     0  204 77136 88 10  2  0
 0  0  66948 189808 135128 333032    4    0     4     0  204 76876 85 13  2  0
 0  0  66948 179300 135128 338396    8    0     8     0  205 77351 84 13  3  0
 0  1  66948 170100 135128 342472    4    0     4 31880  737 73707 84 14  0  2
 0  0  66948 157060 135132 350316    4    0     4     4  212 77855 87 11  2  0
 0  0  66948 145548 135132 356680    0    0     0     0  206 77318 88  9  2  0
 0  0  66948 133008 135132 364556    0    0     0     0  203 75177 80 17  2  0
procs                      memory      swap          io     system         cpu
 r  b   swpd   free   buff  cache   si   so    bi    bo   in    cs us sy id wa
 0  0  66948 120196 135132 372304    0    0     0     0  203 76374 84 14  2  0
 1  0  66948 113476 135136 374000    0    0     0 31688  739 74239 89  9  0  2
 0  0  66948 100440 135136 381844    0    0     0     0  204 75331 83 14  2  0
 0  0  66948  88804 135252 388204    0    0     0     0  203 76239 84 13  2  0
 0  0  66948  75868 135280 395948    0    0     0     0  204 76169 87 11  2  0
 0  0  66948  62784 135280 403824    0    0     0     0  205 74998 83 15  2  0
 0  1  66948  56068 135280 405524    4    0     4 31676  718 74240 85 13  0  2
 0  0  66948  44260 135284 412104    4   40     4   544  265 75738 84 13  2  0
 0  0  66948  36296 135284 419548    0    0     0     0  204 78992 85 15  0  0
 0  0  66948  26092 134580 425776    0  216     0   216  247 75805 87 11  2  0
 0  0  66948  19640 134580 427236    0    0     0     0  204 73728 84 13  3  0
 0  1  66948  17564 134584 424380    4    0     4 32204  778 68725 76 24  0  0
 0  0  66948  16784 134600 420108    0    0     0  9348  410 58745 65 10  1 24
 0  0  66948  16016 134748 416140    4    0     4     0  204 73832 80 18  1  0
 0  0  66948  15956 134748 411292    0    0     0     0  204 73536 81 16  2  0
 0  0  66948  16036 134748 406304    0    0     0     0  205 77623 89  8  3  0
 0  1  66948  21028 134756 396344    4    0     4 19864  578 71880 77 20  0  2
 2  0  66948  16152 134756 396236    4    0     4     0  199 68157 86 11  3  0
 1  1  66948  15880 134756 391508    0    0     0     0  207 69411 87 10  3  0
 3  0  66948  15904 134756 386496    0    0     0     0  188 63337 85 12  2  0
 3  0  66948  17424 134764 373312    0    0     0 28232  232 60430 83 17  0  0
procs                      memory      swap          io     system         cpu
 r  b   swpd   free   buff  cache   si   so    bi    bo   in    cs us sy id wa
 0  1  66948  21940 134772 375172    4    0     4  3640  748 59865 88 11  0  0
 2  0  66948  16664 134776 374820    4    0     4     0  206 23081 89 11  0  0
 2  0  66948  16008 134776 370432    0    0     0     0  203 71074 88  9  3  0
 3  0  66948  16300 134800 365104    0    0     4 20860  589 73607 85 12  0  2
 3  1  66948  19648 134800 356676    0    0     0  9284  315 64842 83 14  3  0
 2  0  66948  16048 134804 356980    0    0     0   228  295 66578 86 12  2  0
 2  0  66948  16116 134804 351940    0    0     0     0  202 61744 87 11  2  0
 2  0  66948  15796 134812 348192    0    0     0     0  204 66906 83 14  3  0
 1  0  66948  15908 134812 346048    4    0     4     0  204 64331 86 12  1  1
